detail_id,transaction_id,item_id,quantity,payment_date,customer_id,customer_name,registration_date,email,gender,age,birth,pref,item_name,item_price,price
22,T0000000135,S001,2,2019-02-01 22:37:32,GD362521,±è¼­À²,2019-01-06 19:11,matsuoka_haruki@example.com,F,69,1950-02-01,¼­¿ïÆ¯º°½Ã,PC-A,50000,100000
23,T0000000136,S003,1,2019-02-01 23:18:16,OA041099,±èÇüÁÖ,2019-01-26 15:03,asakawa_tarou@example.com,M,69,1950-07-20,ÀÎÃµ±¤¿ª½Ã,PC-C,120000,120000
24,T0000000137,S005,1,2019-02-01 23:35:49,GD029189,±èÁö¼·,2019-01-16 4:32,masuda_meisa@example.com,F,73,1946-01-14,´ëÀü±¤¿ª½Ã,PC-E,210000,210000
25,T0000000138,S001,1,2019-02-01 23:40:34,GD241254,±è½ÃÈÆ,2019-01-06 10:02,tsuji_miyuki@example.com,F,77,1942-06-16,¿ï»ê±¤¿ª½Ã,PC-A,50000,50000
26,T0000000139,S001,2,2019-02-02 00:10:42,AS220894,±èÇöÅÂ,2019-01-26 13:26,kajiwara_kadue@example.com,F,54,1965-05-03,ºÎ»ê±¤¿ª½Ã,PC-A,50000,100000
27,T0000000140,S001,3,2019-02-02 00:17:54,IK548249,±è°â,2019-01-23 2:28,oyama_tohru@example.com,M,35,1984-05-26,ºÎ»ê±¤¿ª½Ã,PC-A,50000,150000
28,T0000000141,S005,1,2019-02-02 00:18:02,HI830026,±è¿ì¼Ö,2019-01-30 11:18,ooshima_momoko@example.com,F,46,1972-11-30,ºÎ»ê±¤¿ª½Ã,PC-E,210000,210000
29,T0000000142,S001,2,2019-02-02 00:18:38,IK429683,±èÁØ¼º,2019-01-05 3:52,nishimura_shinsuke@example.com,M,29,1989-10-07,±¤ÁÖ±¤¿ª½Ã,PC-A,50000,100000
30,T0000000143,S002,1,2019-02-02 01:25:28,GD903830,±è°­¹Î,2019-01-05 12:39,anndou_sayaka@example.com,F,53,1966-02-06,ÀÎÃµ±¤¿ª½Ã,PC-B,85000,85000
31,T0000000144,S002,1,2019-02-02 01:40:33,AS265381,±èÇÏÁØ,2019-01-01 5:51,kasai_yousuke@example.com,M,69,1949-08-09,¼­¿ïÆ¯º°½Ã,PC-B,85000,85000
32,T0000000145,S002,1,2019-02-02 04:14:12,IK548249,±è°â,2019-01-23 2:28,oyama_tohru@example.com,M,35,1984-05-26,ºÎ»ê±¤¿ª½Ã,PC-B,85000,85000
33,T0000000146,S003,1,2019-02-02 04:14:22,OA959837,±èÀºÁØ,2019-01-11 14:03,nakazawa_mika@example.com,F,54,1964-12-14,ÀÎÃµ±¤¿ª½Ã,PC-C,120000,120000
34,T0000000147,S001,1,2019-02-02 04:24:40,HI527630,±èÈ¿Àç,2019-01-30 8:53,takase_erika@example.com,F,26,1993-03-28,±¤ÁÖ±¤¿ª½Ã,PC-A,50000,50000
35,T0000000148,S002,1,2019-02-02 05:07:31,GD843424,±èÁøÈ£,2019-01-10 12:49,tsujimoto_kaoru@example.com,M,43,1976-04-28,ºÎ»ê±¤¿ª½Ã,PC-B,85000,85000
36,T0000000149,S001,2,2019-02-02 06:06:04,AS220894,±èÇöÅÂ,2019-01-26 13:26,kajiwara_kadue@example.com,F,54,1965-05-03,ºÎ»ê±¤¿ª½Ã,PC-A,50000,100000
37,T0000000150,S004,1,2019-02-02 06:34:29,AS015315,±èÁö¿í,2019-01-24 0:56,hisano_mitsuhiro@example.com,M,80,1938-10-05,´ëÀü±¤¿ª½Ã,PC-D,180000,180000
38,T0000000151,S001,1,2019-02-02 10:04:18,OA239766,±èÁØ¿ì,2019-01-01 8:59,tamaki_yukiya@example.com,M,22,1997-01-12,ÀÎÃµ±¤¿ª½Ã,PC-A,50000,50000
39,T0000000152,S005,1,2019-02-02 10:52:39,HD471103,±èÇØÁØ,2019-01-16 21:31,tamaki_kazuyo@example.com,F,36,1983-07-04,¿ï»ê±¤¿ª½Ã,PC-E,210000,210000
40,T0000000153,S003,1,2019-02-02 11:27:59,PL020585,±è¼®ÁØ,2019-01-19 15:19,yamanishi_takashi@example.com,M,22,1997-06-09,¼­¿ïÆ¯º°½Ã,PC-C,120000,120000
41,T0000000154,S001,1,2019-02-02 11:44:56,PL983707,±è¹Î¿ì,2019-01-03 0:53,mihashi_miri@example.com,F,28,1991-05-31,¼­¿ïÆ¯º°½Ã,PC-A,50000,50000
42,T0000000155,S003,1,2019-02-02 11:51:58,OA393462,±èÅÂ¿Ï,2019-01-22 14:54,moriya_satoshi@example.com,M,72,1947-02-26,ÀÎÃµ±¤¿ª½Ã,PC-C,120000,120000
43,T0000000156,S005,1,2019-02-02 12:17:44,AS912483,±èÅÂ¿ì,2019-01-09 9:06,tamayama_masami@example.com,F,22,1997-04-26,ÀÎÃµ±¤¿ª½Ã,PC-E,210000,210000
44,T0000000157,S005,1,2019-02-02 12:21:51,IK921715,±èÂùÀ¯,2019-01-19 23:47,kurokawa_mahiru@example.com,F,47,1972-04-07,ºÎ»ê±¤¿ª½Ã,PC-E,210000,210000
45,T0000000158,S003,1,2019-02-02 12:41:41,AS820169,±è½Â¹ü,2019-01-18 15:39,nishikawa_katsumi@example.com,M,67,1951-12-03,¼­¿ïÆ¯º°½Ã,PC-C,120000,120000
46,T0000000159,S001,1,2019-02-02 13:35:40,OA329115,±èµ¿È£,2019-01-18 14:49,sawa_masatoshi@example.com,M,59,1960-06-01,±¤ÁÖ±¤¿ª½Ã,PC-A,50000,50000
47,T0000000160,S001,2,2019-02-02 15:08:58,HD263348,±èÁØ¿±,2019-01-30 3:53,suzuki_nana@example.com,F,34,1984-08-20,ÀÎÃµ±¤¿ª½Ã,PC-A,50000,100000
48,T0000000161,S003,1,2019-02-02 16:56:59,IK429683,±èÁØ¼º,2019-01-05 3:52,nishimura_shinsuke@example.com,M,29,1989-10-07,±¤ÁÖ±¤¿ª½Ã,PC-C,120000,120000
49,T0000000162,S001,1,2019-02-02 18:23:27,PL563502,±èÅÂ°æ,2019-01-07 14:34,imoto_yoshimasa@example.com,M,30,1989-07-15,´ëÀü±¤¿ª½Ã,PC-A,50000,50000
50,T0000000163,S005,1,2019-02-02 19:36:16,OA441851,±èÁ¦Çö,2019-01-31 5:05,ihara_saki@example.com,F,52,1967-06-25,´ëÀü±¤¿ª½Ã,PC-E,210000,210000
51,T0000000164,S001,3,2019-02-02 20:20:39,AS820169,±è½Â¹ü,2019-01-18 15:39,nishikawa_katsumi@example.com,M,67,1951-12-03,¼­¿ïÆ¯º°½Ã,PC-A,50000,150000
52,T0000000165,S003,1,2019-02-02 20:42:12,GD573644,±èµ¿¿¬,2019-01-16 13:26,shinozaki_shigeki@example.com,M,67,1952-07-30,ÀÎÃµ±¤¿ª½Ã,PC-C,120000,120000
53,T0000000166,S002,1,2019-02-02 21:01:44,PL309891,±èÁ¾Çõ,2019-01-21 20:42,haga_maho@example.com,F,74,1944-11-22,¼­¿ïÆ¯º°½Ã,PC-B,85000,85000
54,T0000000167,S004,1,2019-02-02 21:20:27,HD194702,±è½Ã¾ð,2019-01-17 9:19,kimoto_asaka@example.com,F,72,1947-01-24,´ëÀü±¤¿ª½Ã,PC-D,180000,180000
55,T0000000168,S005,1,2019-02-02 21:42:23,IK025456,±è¿ë¿ì,2019-01-26 17:41,morishita_yousuke@example.com,M,31,1987-11-20,¼­¿ïÆ¯º°½Ã,PC-E,210000,210000
56,T0000000169,S004,1,2019-02-02 23:19:43,IK077913,±è¹Î±Ô,2019-01-03 0:13,toyoshima_norihito@example.com,M,29,1990-06-05,´ëÀü±¤¿ª½Ã,PC-D,180000,180000
57,T0000000170,S001,3,2019-02-03 00:46:24,TS918434,±èµµÁø,2019-01-12 11:30,arata_kazuyo@example.com,F,43,1976-07-13,´ë±¸±¤¿ª½Ã,PC-A,50000,150000
58,T0000000171,S003,1,2019-02-03 01:33:24,HD566204,±èÀçÈÆ,2019-01-07 4:58,hata_shihori@example.com,F,68,1950-09-09,´ëÀü±¤¿ª½Ã,PC-C,120000,120000
59,T0000000172,S002,1,2019-02-03 02:09:52,HI263602,±èÀç¿ø,2019-01-03 0:41,hagiwara_masami@example.com,F,60,1959-05-01,¿ï»ê±¤¿ª½Ã,PC-B,85000,85000
60,T0000000173,S001,1,2019-02-03 03:18:38,HD995428,±è°­ÁØ,2019-01-21 14:15,ishigaki_shunji@example.com,M,21,1998-02-01,ºÎ»ê±¤¿ª½Ã,PC-A,50000,50000
61,T0000000174,S005,1,2019-02-03 03:42:58,HD994980,±è¹ÎÀç,2019-01-01 21:22,kasai_nanase@example.com,F,52,1967-08-05,¿ï»ê±¤¿ª½Ã,PC-E,210000,210000
62,T0000000175,S001,2,2019-02-03 06:48:55,TS117409,±è¿ëÇö,2019-01-25 23:35,hirata_tomofumi@example.com,M,27,1992-06-30,´ëÀü±¤¿ª½Ã,PC-A,50000,100000
63,T0000000176,S004,1,2019-02-03 07:27:22,HI196175,±èÁØÇü,2019-01-10 15:02,horiguchi_hikari@example.com,F,32,1987-05-23,ºÎ»ê±¤¿ª½Ã,PC-D,180000,180000
64,T0000000177,S001,2,2019-02-03 07:46:23,PL729017,±è¿ä¼Á,2019-01-27 6:34,negishi_atsushi@example.com,M,37,1981-10-20,¿ï»ê±¤¿ª½Ã,PC-A,50000,100000
65,T0000000178,S003,1,2019-02-03 08:38:44,GD670693,±èÇüÁØ,2019-01-09 19:38,sakaguchi_hiroyuki@example.com,M,73,1946-07-01,±¤ÁÖ±¤¿ª½Ã,PC-C,120000,120000
66,T0000000179,S003,1,2019-02-03 09:27:00,PL381578,±è°ÇÀ²,2019-01-16 20:08,aihara_asahi@example.com,F,65,1954-03-31,¼­¿ïÆ¯º°½Ã,PC-C,120000,120000
67,T0000000180,S003,1,2019-02-03 09:36:26,AS236198,±è¼¼¿µ,2019-01-22 20:49,ooya_mamoru@example.com,M,60,1958-11-25,´ë±¸±¤¿ª½Ã,PC-C,120000,120000
68,T0000000181,S001,1,2019-02-03 11:01:39,GD316957,±è»ó¿ì,2019-01-11 8:46,yusuke_aina@example.com,F,40,1979-04-23,ºÎ»ê±¤¿ª½Ã,PC-A,50000,50000
69,T0000000182,S005,1,2019-02-03 11:02:39,PL407221,±èÀ¯ÁØ,2019-01-02 0:42,ando_erika@example.com,F,70,1948-11-14,ÀÎÃµ±¤¿ª½Ã,PC-E,210000,210000
70,T0000000183,S001,1,2019-02-03 11:09:40,IK967528,±èµ¿ÁÖ,2019-01-22 3:00,oonuki_kenji@example.com,M,24,1995-07-26,¼­¿ïÆ¯º°½Ã,PC-A,50000,50000
71,T0000000184,S003,1,2019-02-03 11:41:15,AS870817,±è´ëÇÑ,2019-01-23 17:03,kinoshita_miho@example.com,F,20,1999-07-27,´ëÀü±¤¿ª½Ã,PC-C,120000,120000
72,T0000000185,S004,1,2019-02-03 12:09:51,HD678019,±è¿µ¿õ,2019-01-27 18:00,mifune_rokurou@example.com,M,73,1945-11-29,¼­¿ïÆ¯º°½Ã,PC-D,180000,180000
73,T0000000186,S003,1,2019-02-03 12:15:59,PL674172,±èÅÂÀ²,2019-01-09 7:27,manabe_riko@example.com,F,28,1991-04-16,ºÎ»ê±¤¿ª½Ã,PC-C,120000,120000
74,T0000000187,S001,1,2019-02-03 13:44:41,GD639619,±èÀºÇõ,2019-01-11 12:21,obata_chinatsu@example.com,F,23,1995-10-11,´ëÀü±¤¿ª½Ã,PC-A,50000,50000
75,T0000000188,S001,2,2019-02-03 13:45:07,GD730210,±è¼º¿¬,2019-01-23 14:12,suga_shibori@example.com,F,56,1963-06-03,ÀÎÃµ±¤¿ª½Ã,PC-A,50000,100000
76,T0000000189,S002,1,2019-02-03 14:51:30,GD762671,±è±Ô¹Î,2019-01-04 11:16,umino_emiko@example.com,F,37,1981-10-07,¼­¿ïÆ¯º°½Ã,PC-B,85000,85000
77,T0000000190,S002,1,2019-02-03 16:01:35,IK749861,±èÁö¿ø,2019-01-02 17:39,kodama_tooru@example.com,M,72,1947-02-15,ÀÎÃµ±¤¿ª½Ã,PC-B,85000,85000
78,T0000000191,S004,1,2019-02-03 16:23:39,IK629720,±èÁøÇö,2019-01-27 23:48,watanabe_meisa@example.com,F,24,1995-06-17,¿ï»ê±¤¿ª½Ã,PC-D,180000,180000
79,T0000000192,S004,1,2019-02-03 16:25:37,GD821903,±èÀç¿ì,2019-01-09 16:11,morimoto_yuu@example.com,F,36,1982-11-18,´ëÀü±¤¿ª½Ã,PC-D,180000,180000
80,T0000000193,S005,1,2019-02-03 16:36:12,OA710903,±è¼­ÇÏ,2019-01-21 20:48,mori_hanako@example.com,F,74,1944-11-17,¼­¿ïÆ¯º°½Ã,PC-E,210000,210000
81,T0000000194,S002,1,2019-02-03 18:03:07,HD699115,±èÁØÈÖ,2019-01-17 13:30,konishi_manami@example.com,F,54,1964-10-13,¼­¿ïÆ¯º°½Ã,PC-B,85000,85000
82,T0000000194,S005,1,2019-02-03 18:03:07,HD699115,±èÁØÈÖ,2019-01-17 13:30,konishi_manami@example.com,F,54,1964-10-13,¼­¿ïÆ¯º°½Ã,PC-E,210000,210000
83,T0000000195,S004,1,2019-02-03 18:26:42,GD620805,±è¹Î¼·,2019-01-25 23:07,kasuga_mika@example.com,F,25,1994-04-16,´ëÀü±¤¿ª½Ã,PC-D,180000,180000
84,T0000000196,S002,1,2019-02-03 19:13:03,GD735013,±èÀÌÂù,2019-01-23 19:13,yanagiya_manami@example.com,F,74,1944-09-26,¼­¿ïÆ¯º°½Ã,PC-B,85000,85000
85,T0000000197,S005,1,2019-02-03 19:35:54,IK809167,±è¼öÀÎ,2019-01-31 15:14,ashida_hiroyuki@example.com,M,26,1993-01-16,´ë±¸±¤¿ª½Ã,PC-E,210000,210000
86,T0000000198,S003,1,2019-02-03 19:37:42,HD509520,±è½ÂÀç,2019-01-08 22:29,naka_hiroaki@example.com,M,40,1978-11-18,ºÎ»ê±¤¿ª½Ã,PC-C,120000,120000
87,T0000000199,S003,1,2019-02-03 20:02:00,IK921715,±èÂùÀ¯,2019-01-19 23:47,kurokawa_mahiru@example.com,F,47,1972-04-07,ºÎ»ê±¤¿ª½Ã,PC-C,120000,120000
88,T0000000200,S001,1,2019-02-03 20:11:37,HD995428,±è°­ÁØ,2019-01-21 14:15,ishigaki_shunji@example.com,M,21,1998-02-01,ºÎ»ê±¤¿ª½Ã,PC-A,50000,50000
89,T0000000201,S001,1,2019-02-03 20:20:23,PL534171,±è½ÂÁØ,2019-01-03 9:39,nemoto_shun1@example.com,F,50,1969-02-23,ÀÎÃµ±¤¿ª½Ã,PC-A,50000,50000
90,T0000000202,S002,1,2019-02-03 20:48:25,TS963433,±èÁö¿À,2019-01-06 16:12,ariga_stmaria@example.com,M,69,1950-08-05,´ëÀü±¤¿ª½Ã,PC-B,85000,85000
91,T0000000203,S005,1,2019-02-03 21:41:24,AS582607,±è±Ô¿ø,2019-01-15 16:51,ayase_kikuo@example.com,M,25,1994-07-28,ºÎ»ê±¤¿ª½Ã,PC-E,210000,210000
92,T0000000204,S002,2,2019-02-03 23:39:43,PL705609,±è¼ºÁØ,2019-01-04 9:12,yamakawa_saki@example.com,F,25,1993-09-17,´ëÀü±¤¿ª½Ã,PC-B,85000,170000
93,T0000000205,S003,1,2019-02-04 00:01:12,HI145167,±è±âÅÂ,2019-02-01 10:55,sugiyama_aya@example.com,F,38,1980-08-20,´ëÀü±¤¿ª½Ã,PC-C,120000,120000
94,T0000000206,S005,1,2019-02-04 00:32:47,IK446815,±èÁ¦ÀÌ,2019-01-29 5:09,seo_youko@example.com,F,51,1967-10-05,ÀÎÃµ±¤¿ª½Ã,PC-E,210000,210000
95,T0000000207,S005,1,2019-02-04 00:42:48,TS558026,±è¹Î°â,2019-01-29 0:23,fukuzawa_hiromasa@example.com,M,69,1950-01-18,ÀÎÃµ±¤¿ª½Ã,PC-E,210000,210000
96,T0000000208,S003,1,2019-02-04 00:53:35,AS359364,±èÇöµµ,2019-01-28 7:06,ooba_chise@example.com,F,64,1955-04-25,¿ï»ê±¤¿ª½Ã,PC-C,120000,120000
97,T0000000208,S001,1,2019-02-04 00:53:35,AS359364,±èÇöµµ,2019-01-28 7:06,ooba_chise@example.com,F,64,1955-04-25,¿ï»ê±¤¿ª½Ã,PC-A,50000,50000
98,T0000000209,S002,2,2019-02-04 01:00:19,TS515806,±èÀ±±â,2019-02-02 20:43,ichikawa_kazuyuki@example.com,M,30,1989-07-12,´ëÀü±¤¿ª½Ã,PC-B,85000,170000
99,T0000000210,S002,1,2019-02-04 01:37:52,OA138193,±èÇÏºó,2019-01-21 18:12,imada_kazuyuki@example.com,M,63,1955-09-14,ÀÎÃµ±¤¿ª½Ã,PC-B,85000,85000
100,T0000000211,S005,1,2019-02-04 02:22:39,HI364290,±èÅÂÈÆ,2019-01-06 19:46,komatsu_sayaka@example.com,F,54,1964-08-13,¼­¿ïÆ¯º°½Ã,PC-E,210000,210000
101,T0000000212,S004,1,2019-02-04 03:23:29,HI253328,±èÀÇÂù,2019-01-25 4:20,kubota_chinatsu@example.com,F,56,1963-04-20,¼­¿ïÆ¯º°½Ã,PC-D,180000,180000
102,T0000000213,S003,1,2019-02-04 05:42:23,HD163236,±èÇÑºû,2019-02-02 8:16,aihara_ryousuke@example.com,M,31,1987-09-29,±¤ÁÖ±¤¿ª½Ã,PC-C,120000,120000
103,T0000000214,S002,1,2019-02-04 06:21:34,PL792014,±è°æÈ¯,2019-01-29 15:15,kihara_katsuhisa@example.com,M,72,1947-04-13,ºÎ»ê±¤¿ª½Ã,PC-B,85000,85000
104,T0000000215,S001,1,2019-02-04 07:56:40,PL472728,±è±ÔÈ£,2019-02-03 16:55,kurosaki_tatsuya@example.com,M,39,1980-05-02,¼­¿ïÆ¯º°½Ã,PC-A,50000,50000
105,T0000000216,S001,1,2019-02-04 08:15:42,TS931749,±èÇõÁø,2019-01-31 7:35,kano_nao@example.com,F,36,1983-04-27,´ëÀü±¤¿ª½Ã,PC-A,50000,50000
106,T0000000217,S003,1,2019-02-04 08:29:15,HD478215,±è½ÂÁÖ,2019-01-12 4:22,umezawa_takashi@example.com,M,79,1939-09-15,´ë±¸±¤¿ª½Ã,PC-C,120000,120000
107,T0000000218,S003,1,2019-02-04 08:52:33,AS866028,±èÁÖÇö,2019-01-09 17:55,kitakawa_hiroki@example.com,M,51,1967-12-27,¼­¿ïÆ¯º°½Ã,PC-C,120000,120000
108,T0000000219,S003,1,2019-02-04 09:20:01,HD819739,±èÁØ¼­,2019-01-01 8:17,shiomi_haruka@example.com,F,49,1969-10-08,´ëÀü±¤¿ª½Ã,PC-C,120000,120000
109,T0000000219,S002,1,2019-02-04 09:20:01,HD819739,±èÁØ¼­,2019-01-01 8:17,shiomi_haruka@example.com,F,49,1969-10-08,´ëÀü±¤¿ª½Ã,PC-B,85000,85000
110,T0000000220,S002,1,2019-02-04 10:25:21,TS301045,±è¼öÈ£,2019-01-03 4:04,kiyota_haruka1@example.com,F,26,1993-01-07,ÀÎÃµ±¤¿ª½Ã,PC-B,85000,85000
111,T0000000221,S002,1,2019-02-04 10:38:51,AS345469,±è½Ã¿ì,2019-01-01 4:48,tsuruoka_kaoru@example.com,M,74,1945-03-25,ÀÎÃµ±¤¿ª½Ã,PC-B,85000,85000
112,T0000000222,S004,1,2019-02-04 11:24:30,AS719871,±è°æÈ£,2019-01-28 2:23,yanagiya_nao@example.com,F,76,1943-04-01,¼­¿ïÆ¯º°½Ã,PC-D,180000,180000
113,T0000000223,S003,1,2019-02-04 11:25:13,HI402688,±èÇö¿í,2019-01-15 16:35,godai_keiji@example.com,M,37,1982-03-13,¼­¿ïÆ¯º°½Ã,PC-C,120000,120000
114,T0000000224,S001,1,2019-02-04 12:16:42,HD768386,±èÁøÇõ,2019-01-11 5:24,tashiro_masatoshi@example.com,M,51,1967-11-20,´ëÀü±¤¿ª½Ã,PC-A,50000,50000
115,T0000000225,S002,1,2019-02-04 13:18:52,OA567188,±èÈñÀç,2019-01-22 23:34,odajima_sadawo@example.com,M,62,1956-08-27,´ë±¸±¤¿ª½Ã,PC-B,85000,85000
116,T0000000226,S001,1,2019-02-04 13:53:04,GD706415,±è±¤Çö,2019-02-02 9:00,tomosaka_subaru@example.com,M,79,1940-06-24,ÀÎÃµ±¤¿ª½Ã,PC-A,50000,50000
117,T0000000227,S005,1,2019-02-04 14:50:35,HD068817,±è¿ìºó,2019-01-04 3:01,hori_atsushi@example.com,M,68,1951-05-17,ÀÎÃµ±¤¿ª½Ã,PC-E,210000,210000
118,T0000000228,S002,2,2019-02-04 15:02:46,GD876521,±è¹ÎÃ¶,2019-01-30 3:42,kihara_chinatsu@example.com,F,59,1959-11-03,ÀÎÃµ±¤¿ª½Ã,PC-B,85000,170000
119,T0000000229,S005,1,2019-02-04 15:04:39,HI196175,±èÁØÇü,2019-01-10 15:02,horiguchi_hikari@example.com,F,32,1987-05-23,ºÎ»ê±¤¿ª½Ã,PC-E,210000,210000
120,T0000000230,S005,1,2019-02-04 16:05:55,TS179365,±èÇÏ¹Î,2019-01-05 4:49,akashiya_toshio@example.com,M,33,1985-11-14,ÀÎÃµ±¤¿ª½Ã,PC-E,210000,210000
121,T0000000231,S004,1,2019-02-04 16:50:28,PL980001,±èÀçÇÏ,2019-01-08 18:54,funabashi_george@example.com,M,30,1988-10-03,ºÎ»ê±¤¿ª½Ã,PC-D,180000,180000
122,T0000000231,S004,1,2019-02-04 16:50:28,PL980001,±èÀçÇÏ,2019-01-08 18:54,funabashi_george@example.com,M,30,1988-10-03,ºÎ»ê±¤¿ª½Ã,PC-D,180000,180000
123,T0000000231,S003,1,2019-02-04 16:50:28,PL980001,±èÀçÇÏ,2019-01-08 18:54,funabashi_george@example.com,M,30,1988-10-03,ºÎ»ê±¤¿ª½Ã,PC-C,120000,120000
124,T0000000232,S001,1,2019-02-04 17:56:50,HD163236,±èÇÑºû,2019-02-02 8:16,aihara_ryousuke@example.com,M,31,1987-09-29,±¤ÁÖ±¤¿ª½Ã,PC-A,50000,50000
125,T0000000233,S002,2,2019-02-04 19:17:04,HD661448,±èÁöÇü,2019-01-30 14:25,kawata_natsumi@example.com,F,30,1988-10-27,´ëÀü±¤¿ª½Ã,PC-B,85000,170000
126,T0000000234,S001,2,2019-02-04 19:42:59,HD693609,±èÇÑÀ²,2019-01-13 20:29,ariga_tsutomu@example.com,M,20,1998-09-10,¼­¿ïÆ¯º°½Ã,PC-A,50000,100000
127,T0000000235,S001,1,2019-02-04 19:53:45,PL563502,±èÅÂ°æ,2019-01-07 14:34,imoto_yoshimasa@example.com,M,30,1989-07-15,´ëÀü±¤¿ª½Ã,PC-A,50000,50000
128,T0000000236,S001,3,2019-02-04 20:56:36,AS700935,±èÁøÇü,2019-01-30 15:34,nishihara_mikako@example.com,F,52,1967-03-15,ºÎ»ê±¤¿ª½Ã,PC-A,50000,150000
